BLOCK_NUMBER,ETH_FROM_ADDRESS,AMOUNT,TX_HASH
17389779,0xccdee53b87c19f1cec8d2a2fefa94d6e7cb09c5f,1.5,0x63f083bf5acf53025a7fe980def25023546a3dc5b326355346ae9b60b92324a3
17377219,0x95b391ce72da4fd408fd5f0e6c9b697db7ce1810,0.01,0x0381d6e33b3e4b0803282874211bc9e1cccec22d0ba8579a2fbf799795c76f15
17377390,0xb9c07d64dd5c9bfbfbe7e8a2120816046949eb91,0.00167,0x265d9ae7b4959a69cb34b142da219ecc53adb075684001242380d45a7389466f
17377399,0x5b037f0a7b905ba1045a651df2dd8476d978058c,0.0015,0xf6101d544d387945a6d935fd74eb0ca563b53864793e21f0771fc23589ea975d
17377174,0x4f983b0690bd3e46e90f521a123d75bc2a78ddca,0.002,0xfe794d24de6d799c7f93ce9036ffa5d6b86fb93f96ff6cc2eb621b929ab61c7e
17377171,0x3b1a6cb29d744f93ecc6f4519003514e1e4190dc,0.0001,0x92656941e06a4120d2f614d66fdc13914bedec75ca3f4d077c55bc8813ff4db2
17377387,0xd5eda0f579e31df795ad2b0d01d65b7b36a0b0e0,0.001,0x02390f0c4195603d269bc504a68c4072dcfd0cbb87e31b34cb59a35893f16693
17377265,0x673a9cfbfc7e1009a6a27fe16858eec215d6189b,0.001,0xe81de2ae20e7108413fb7ab102838bb47740cad2a265dcd8dc6cc28a35140a60
17377394,0x8e01c07002e60333facda378571b8ba881f91efa,0.001,0x659e0271ddb36cf4e0d14ac3d97b63ebc28d14e86b8928f056d297e44893f3d2
17377848,0xbf08b0583f806d8bb6676711ddc2a7d16053137c,0.0011,0x9991748755cbe354cdcb0861f68adff998b76c60b89016215d19db8951f4f625
17377277,0x8afcb2fe9589a187ae92e4897f639f0283b7cdb5,0.0001,0x0258b44cbd73083a755583d520275e74cdaee5092c1bc1429e1c03c18d2e3e47
17377419,0xdeeb5c43dd9b8d1ba200b534f6ebdfc7635235ea,0.05,0x542f97c31ecf0c9661e68e07cb0a10a70ad675e17dfa2932ce33729b75c33bc5
17382037,0x6cf9b913798048e73124ef25dd90145bfabb6179,0.0006,0x85d3673e67e2500e88a53be4b0f6a88a40050e9e5c9fc402888a77b92afaf1fb
17377278,0x58f27e29a83351f150566c704b27b4524dc49865,0.27,0x93a081e8611e6d8548462b8c40a12fc35157d9a66d5964204964af7110b07ec3
17377196,0x42c3393301e0b7c52b2db989bde0e57f80fe58b8,0.002,0xa43dbb2fe5dc42f27e1a86e8fd51f8c88978d905cdc8a281cd6e413af9dddbf6
17377429,0xb3e0c6dc29514bcc1b3e547212376259f94ed9e9,0.0014,0xf5a8838b612dc8aa011f56e150c819bf374f4841b10522ff939ecf689a08de44
17377531,0xa2643ebac5f57b47d936b33f1ec3fa9529e6e073,0.0025,0x4a1728fd59e45cb53711cd10b92a96039f45628ffb3aff399fd4b7897d14a460
17377212,0x656f2b414b854d256d95f7694f5710b4cf48aa1e,0.0015,0x8644ce9382434d722d78e642b7612b61eb30516f779e55a86abec80a5152ac3b
17377294,0x65b6dcfe4482b14e7e0335ee121331d45158a2ae,0.00093406585,0x13330af3d095e82b66ff926fe1bb726ac0481a96ef551ac0ef82fccaffb62222
17377298,0xfb07989b4545878ce1d48e4dfbd598b66073f860,0.0013,0x44f58b85f6a02d69a6d36fd6b8b087d6bae610deda8b3680e17f7bdeff1c9503
17377340,0x6004e50a104d8d74573c1aecf59a2eb092b20f4e,0.00004682,0xd5a8ed724be659e1ec7f6a4a66ba6b5ddeec18e6f249744c26e6c312053913c3
17377359,0xa827812a24de41ca2805db0ee78c4b5644898bf0,0.0018,0x8fcb5c636166b191d4503c7cb05794af131388be3c27ee62dfaa03d060f339e1
17377093,0x2a7a1c07b74806800eff667c5de512404810684f,0.0005,0x19ec998f82b995ad1a7f5f5676974529c3ba22860ea695a2753e9cfca906192e
17377361,0x6d9f81e891d60b5281cb1a1604ab020791e72ee6,0.00001,0x083d254da320235e5629e9cf23d0dc4f601724a9672b6b90f9c4f619e2b6d1fe
17376822,0xb9ded8488cb48c171ef9401cafe3d3c1d934ee2f,0.001,0xb298e4274b7b6e76dfac808ea6d2f7764443c4741c3475222d48bf8bd5f3beab
17377356,0x3a409eff50a47aeef294e3f0bb3874490dd99abc,0.001,0xd56bcb158d701ef6f72850ca1b0e844312acb9100268eb25f0ff4e63cc56d7fd
17377810,0x9db560442c156bff14dbf183f3ca4db4b189606f,0.01,0x841285e520b21357fcc207cee6be98515633ba3677521cfc4acd6119ea01827d
17377306,0xe88b90d403ec27c4d0e6fbe2735ca5e297273367,0.00175,0x707c22c960549e19836b183797533f823a90a30df2022798bc858c5774245c0c
17377418,0xa672662cb9c9d66376deb817f7b1066d4548bb35,0.0015,0xf081e8afc088390361417b3431b5dbdeb008f50f2e4c3b45f7dc70b9480fd5a2
17377439,0xe5d2102e5918d89bfda4f9a5ca282cfe228e7eee,0.0021,0x020906e85a82b9126be4fbcc9a37d2cf473f0dc7bbd62696e6666d60e8da3cf6
17377419,0xc95e9bb25fd06cae28bbfa10ab5409bc82a3c5b6,0.0026,0x57e4bfa09a9f2b05eed68afbec67985e497ea4e6b230689fc3ab0e1eb258d602
17377464,0xa1fa98a5b41dc7e222816904a901a7c6429e38fc,0.00008,0xd944b6598281f961a503fcdf57bbc96236228805840817b588636356a5b363a3
17377417,0x167021f73593c5bfbc332fe65d0590cefc28bf0a,0.00168,0x57328e5630e56df1fb52433911cb8e47bf152c35059e3edb6ebc5dd88be9e1d0
17377388,0x046e7cc96940c8f83ebb38cd5bd754ab9202de6e,0.0002,0xecf2a0d29e22314bbd1789c0eddf652a748dcfccdad1e6b189369458ab1db18e
17375572,0x08e88e0b8aeaedebdace3259129f7ee1746a525b,0.25,0x163b410e970536765d4e0956e86074d0e1c92cdbaa5c05165d9512e059885ce1
17377234,0x076c280f2c1e1ef10f9e3bb7685edc8244f91720,0.0019,0x14671214e5f7a4450ec9680505d170cc9e2948e6edc5077eb008d5edfee6a27c
17377229,0x79a73480223df84e6efa0e258339100feb8ae2e3,0.001,0xbdd785482fde96cea8d5016600a40cbf3a929a3451f0865a1d213d62c48a1ebf
17377202,0x7da336044fa96e1a3b43e8c35440fc8d043af221,0.0012,0xd8f947b898f73f1810576dacc9ac2c48af63e7805881d2902ba8d4aee55014f9
17377198,0xc7ce25b43b7ce537280774c8f6e8f491d523d320,0.00001,0x4c09ea833a3fe1b898820d33943a2d69c80f847902a2d63866d0d5f9a404c3ce
17377374,0xbba18aefbf041cc049ca2ac131a9af53134319bc,0.003,0xaf369b4accdba7eb731da5e910ed09d8ccfa4e79b02fc61658e9dc047ea7d4e2
17377361,0x186a0cba4f51524c81cbea0e04a9faa0d4f12b85,0.0015,0x9fa5b28f881211469dc76bc5f407eda1ddf985660313d503eed047f459c760ae
17377397,0x5c5d51ac89045ef544fd5a73afcc41c911845ea5,0.0002,0x90fa762306bd1b99bfca18854e746271381f200122a790c565f2c1bde4453990
17377423,0xd1d9b6ed8e3cc1d22343d1c5480db407a5c2a674,0.0015,0x9ab8d12ed4f1edf8a51e6dcacb10c1276791fe8c979a892e0b66156e93bc1ec5
17377223,0x6aaf268ddd91999cd54617a88fe6b5a8c89a4832,0.0011,0x51bfd7c529de54cbd06df58e7646724b116818269d9c2955caf294fa6bc082f6
17377391,0xc8446cd11d37241eee035908c960286894c362b2,0.0002,0x2d9d652027ed6d7c25adff7e20c3dfc817fd4ae41a584ff498452e6c2637c57b
17377248,0xddd1c9fe1f18cad5711142860ee83c6b6ab4e2d7,0.0001,0x8eff33e782bf8db1f1d60a7accd86176794f856871647b0cfe05e4a831a44a44
